BIBNO,AGE,GENDER,CATEGORY,SWIM,T1,BIKE,T2,RUN,FINALTM
1,33,M,M PRO,00:12:22,00:02:57,01:00:12,00:00:47,00:34:27,01:50:45
2,32,M,M PRO,00:12:02,00:03:11,00:57:06,00:00:49,00:35:24,01:48:32
3,31,M,M PRO,00:12:40,00:03:16,01:01:16,00:00:44,00:34:27,01:52:23
4,28,M,M PRO,00:14:11,00:03:00,01:05:24,00:00:55,00:32:51,01:56:21
5,27,M,M PRO,00:12:13,00:03:03,01:02:46,00:00:52,00:34:58,01:53:52
7,26,M,M PRO,00:13:09,00:03:34,01:03:23,00:01:00,00:36:26,01:57:32
9,29,M,M PRO,00:15:22,00:03:52,01:05:06,00:00:53,00:38:45,02:03:58
51,35,F,F PRO,00:12:39,00:03:37,01:04:42,00:00:49,00:36:14,01:58:01
52,35,F,F PRO,00:12:40,00:03:42,01:04:36,00:00:48,00:36:40,01:58:26
53,41,F,F PRO,00:13:21,00:03:32,01:09:41,00:01:04,00:41:48,02:09:26
54,41,F,F PRO,00:13:29,00:03:56,01:08:35,00:01:08,00:38:29,02:05:37
55,25,F,F PRO,00:12:49,00:03:28,01:08:04,00:00:48,00:38:49,02:03:58
58,27,F,F PRO,00:12:51,00:03:34,01:10:10,00:00:52,00:37:52,02:05:19
131,25,M,M PREMIER,00:14:21,00:03:50,01:03:20,00:00:45,00:36:12,01:58:28
133,21,M,M PREMIER,00:14:54,00:04:32,01:04:05,00:01:06,00:39:10,02:03:47
134,22,M,M PREMIER,00:17:59,00:04:12,01:11:08,00:00:59,00:39:14,02:13:32
135,23,M,M PREMIER,00:14:25,00:03:38,01:03:23,00:00:51,00:40:12,02:02:29
136,23,M,M PREMIER,00:14:41,00:04:23,01:05:51,00:01:13,00:37:47,02:03:55
137,25,M,M PREMIER,00:16:06,00:04:02,01:07:23,00:01:09,00:36:45,02:05:25
138,25,M,M PREMIER,00:16:16,00:03:41,01:02:25,00:00:49,00:33:16,01:56:27
139,25,M,M PREMIER,00:16:23,00:03:44,01:03:21,00:00:54,00:34:43,01:59:05
140,26,M,M PREMIER,00:18:33,00:04:56,01:14:32,00:02:15,00:44:01,02:24:17
143,27,M,M PREMIER,00:15:43,00:04:31,01:17:39,00:01:14,00:47:05,02:26:12
144,28,M,M PREMIER,00:16:57,00:03:59,01:11:44,00:01:04,00:42:03,02:15:47
146,29,M,M PREMIER,00:14:19,00:03:59,01:03:14,00:00:55,00:35:54,01:58:21
147,30,M,M PREMIER,00:17:20,00:04:21,01:06:47,00:01:25,00:36:09,02:06:02
148,30,M,M PREMIER,00:18:06,00:04:27,01:04:22,00:01:08,00:39:52,02:07:55
149,31,M,M PREMIER,00:15:57,00:04:16,01:13:57,00:01:18,00:35:53,02:11:21
150,31,M,M PREMIER,00:16:32,00:03:51,01:06:43,00:00:56,00:33:58,02:02:00
151,31,M,M PREMIER,00:14:59,00:03:33,01:04:54,00:00:58,00:37:10,02:01:34
153,32,M,M PREMIER,00:18:02,00:04:34,01:06:50,00:01:23,00:38:18,02:09:07
154,33,M,M PREMIER,00:16:19,00:04:18,01:14:01,00:01:36,00:37:05,02:13:19
155,33,M,M PREMIER,00:15:52,00:04:02,01:03:15,00:01:06,00:40:17,02:04:32
156,33,M,M PREMIER,00:18:43,00:04:18,01:03:30,00:01:06,00:36:37,02:04:14
157,34,M,M PREMIER,00:15:15,00:04:05,01:09:59,00:01:26,00:35:35,02:06:20
158,34,M,M PREMIER,00:19:20,00:06:16,01:11:06,00:01:28,00:41:13,02:19:23
159,34,M,M PREMIER,00:14:26,00:04:17,01:04:54,00:00:58,00:36:46,02:01:21
160,34,M,M PREMIER,00:17:19,00:04:25,01:08:22,00:01:42,00:38:19,02:10:07
161,35,M,M PREMIER,00:15:50,00:04:42,01:07:10,00:01:17,00:38:37,02:07:36
162,35,M,M PREMIER,00:17:41,00:04:53,01:18:48,00:01:19,00:47:55,02:30:36
163,35,M,M PREMIER,00:16:20,00:04:20,01:08:54,00:01:34,00:39:46,02:10:54
